,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,date,won
0,240.0,240.0,47.0,94.0,0.5,9.0,30.0,0.3,28.0,37.0,0.757,11.0,48.0,59.0,28.0,10.0,8.0,14.0,16.0,131.0,,0.594,0.548,0.319,0.394,24.4,82.8,57.3,59.6,9.3,14.3,11.3,100.0,121.4,99.2,,,8.0,17.0,1.0,2.0,6.0,1.0,5.0,7.0,1.0,4.0,11.0,15.0,8.0,2.0,3.0,4.0,3.0,23.0,24.0,1.0,1.0,0.857,1.0,48.7,37.8,42.6,44.2,4.7,10.7,50.0,58.1,219.0,111.0,MEM,131,0,1,240.0,240.0,38.0,94.0,0.404,11.0,38.0,0.289,20.0,24.0,0.833,10.0,34.0,44.0,25.0,11.0,8.0,12.0,23.0,107.0,,0.512,0.463,0.404,0.255,17.2,75.6,42.7,65.8,10.2,12.5,10.3,100.0,99.2,121.4,,,7.0,23.0,1.0,4.0,13.0,1.0,5.0,5.0,1.0,2.0,8.0,10.0,12.0,2.0,2.0,3.0,4.0,23.0,2.0,1.5,1.5,1.0,2.0,17.7,36.9,20.2,57.9,9.5,16.0,28.6,34.1,300.0,131.0,CHO,107,1,2023-01-04,True
1,240.0,240.0,38.0,94.0,0.404,11.0,38.0,0.289,20.0,24.0,0.833,10.0,34.0,44.0,25.0,11.0,8.0,12.0,23.0,107.0,,0.512,0.463,0.404,0.255,17.2,75.6,42.7,65.8,10.2,12.5,10.3,100.0,99.2,121.4,,,7.0,23.0,1.0,4.0,13.0,1.0,5.0,5.0,1.0,2.0,8.0,10.0,12.0,2.0,2.0,3.0,4.0,23.0,2.0,1.5,1.5,1.0,2.0,17.7,36.9,20.2,57.9,9.5,16.0,28.6,34.1,300.0,131.0,CHO,107,1,0,240.0,240.0,47.0,94.0,0.5,9.0,30.0,0.3,28.0,37.0,0.757,11.0,48.0,59.0,28.0,10.0,8.0,14.0,16.0,131.0,,0.594,0.548,0.319,0.394,24.4,82.8,57.3,59.6,9.3,14.3,11.3,100.0,121.4,99.2,,,8.0,17.0,1.0,2.0,6.0,1.0,5.0,7.0,1.0,4.0,11.0,15.0,8.0,2.0,3.0,4.0,3.0,23.0,24.0,1.0,1.0,0.857,1.0,48.7,37.8,42.6,44.2,4.7,10.7,50.0,58.1,219.0,111.0,MEM,131,0,2023-01-04,False
2,240.0,240.0,46.0,86.0,0.535,9.0,32.0,0.281,16.0,18.0,0.889,7.0,33.0,40.0,23.0,7.0,4.0,17.0,26.0,117.0,,0.623,0.587,0.372,0.209,17.9,73.3,47.6,50.0,6.9,9.1,15.3,100.0,114.8,112.8,,,15.0,22.0,0.682,3.0,7.0,0.429,6.0,8.0,1.0,3.0,11.0,14.0,8.0,2.0,2.0,4.0,5.0,37.0,21.0,0.725,0.705,0.667,0.385,9.5,30.2,20.6,29.6,13.4,12.7,50.0,33.8,143.0,122.0,SAC,117,0,1,240.0,240.0,38.0,88.0,0.432,13.0,44.0,0.295,26.0,29.0,0.897,12.0,32.0,44.0,21.0,9.0,3.0,16.0,19.0,115.0,,0.571,0.506,0.5,0.33,26.7,82.1,52.4,55.3,8.8,5.6,13.7,100.0,112.8,114.8,,,9.0,17.0,0.667,5.0,10.0,0.5,15.0,15.0,1.0,5.0,8.0,9.0,7.0,3.0,1.0,3.0,5.0,28.0,12.0,0.773,0.7,1.0,1.0,21.0,42.5,23.0,34.4,5.4,5.1,33.3,26.9,154.0,122.0,UTA,115,1,2023-01-03,True
3,240.0,240.0,38.0,88.0,0.432,13.0,44.0,0.295,26.0,29.0,0.897,12.0,32.0,44.0,21.0,9.0,3.0,16.0,19.0,115.0,,0.571,0.506,0.5,0.33,26.7,82.1,52.4,55.3,8.8,5.6,13.7,100.0,112.8,114.8,,,9.0,17.0,0.667,5.0,10.0,0.5,15.0,15.0,1.0,5.0,8.0,9.0,7.0,3.0,1.0,3.0,5.0,28.0,12.0,0.773,0.7,1.0,1.0,21.0,42.5,23.0,34.4,5.4,5.1,33.3,26.9,154.0,122.0,UTA,115,1,0,240.0,240.0,46.0,86.0,0.535,9.0,32.0,0.281,16.0,18.0,0.889,7.0,33.0,40.0,23.0,7.0,4.0,17.0,26.0,117.0,,0.623,0.587,0.372,0.209,17.9,73.3,47.6,50.0,6.9,9.1,15.3,100.0,114.8,112.8,,,15.0,22.0,0.682,3.0,7.0,0.429,6.0,8.0,1.0,3.0,11.0,14.0,8.0,2.0,2.0,4.0,5.0,37.0,21.0,0.725,0.705,0.667,0.385,9.5,30.2,20.6,29.6,13.4,12.7,50.0,33.8,143.0,122.0,SAC,117,0,2023-01-03,False
4,240.0,240.0,39.0,88.0,0.443,14.0,43.0,0.326,18.0,22.0,0.818,8.0,23.0,31.0,25.0,16.0,5.0,12.0,15.0,110.0,,0.563,0.523,0.489,0.25,19.0,59.0,38.3,64.1,16.4,10.9,10.9,100.0,112.5,125.8,,,10.0,13.0,0.769,4.0,8.0,0.571,7.0,8.0,1.0,4.0,5.0,8.0,8.0,6.0,3.0,5.0,4.0,27.0,-1.0,0.84,0.769,0.8,0.615,12.1,16.6,12.6,36.2,7.9,8.3,23.2,25.0,159.0,136.0,MIA,110,0,1,240.0,240.0,46.0,92.0,0.5,18.0,46.0,0.391,13.0,15.0,0.867,16.0,34.0,50.0,30.0,4.0,2.0,19.0,13.0,123.0,,0.624,0.598,0.5,0.163,41.0,81.0,61.7,65.2,4.1,4.4,16.2,100.0,125.8,112.5,,,13.0,22.0,0.667,7.0,14.0,0.5,6.0,6.0,1.0,4.0,7.0,10.0,9.0,1.0,1.0,5.0,4.0,33.0,17.0,0.773,0.75,1.0,0.667,27.5,24.7,25.6,42.5,2.7,6.0,32.4,29.4,163.0,119.0,GSW,123,1,2022-10-27,False
5,240.0,240.0,46.0,92.0,0.5,18.0,46.0,0.391,13.0,15.0,0.867,16.0,34.0,50.0,30.0,4.0,2.0,19.0,13.0,123.0,,0.624,0.598,0.5,0.163,41.0,81.0,61.7,65.2,4.1,4.4,16.2,100.0,125.8,112.5,,,13.0,22.0,0.667,7.0,14.0,0.5,6.0,6.0,1.0,4.0,7.0,10.0,9.0,1.0,1.0,5.0,4.0,33.0,17.0,0.773,0.75,1.0,0.667,27.5,24.7,25.6,42.5,2.7,6.0,32.4,29.4,163.0,119.0,GSW,123,1,0,240.0,240.0,39.0,88.0,0.443,14.0,43.0,0.326,18.0,22.0,0.818,8.0,23.0,31.0,25.0,16.0,5.0,12.0,15.0,110.0,,0.563,0.523,0.489,0.25,19.0,59.0,38.3,64.1,16.4,10.9,10.9,100.0,112.5,125.8,,,10.0,13.0,0.769,4.0,8.0,0.571,7.0,8.0,1.0,4.0,5.0,8.0,8.0,6.0,3.0,5.0,4.0,27.0,-1.0,0.84,0.769,0.8,0.615,12.1,16.6,12.6,36.2,7.9,8.3,23.2,25.0,159.0,136.0,MIA,110,0,2022-10-27,True
6,240.0,240.0,42.0,75.0,0.56,11.0,23.0,0.478,21.0,31.0,0.677,10.0,36.0,46.0,34.0,10.0,2.0,16.0,23.0,116.0,,0.654,0.633,0.307,0.413,32.3,80.0,60.5,81.0,10.6,5.1,15.3,100.0,123.4,106.4,,,13.0,15.0,0.867,4.0,7.0,1.0,5.0,8.0,1.0,3.0,13.0,16.0,14.0,2.0,1.0,4.0,5.0,31.0,25.0,0.969,0.944,0.5,6.0,22.2,44.5,32.4,49.2,6.6,3.9,35.5,28.0,194.0,113.0,PHO,116,0,1,240.0,240.0,35.0,81.0,0.432,16.0,42.0,0.381,14.0,22.0,0.636,9.0,21.0,30.0,23.0,8.0,2.0,16.0,27.0,100.0,,0.551,0.531,0.519,0.272,20.0,67.7,39.5,65.7,8.5,3.8,15.0,100.0,106.4,123.4,,,8.0,17.0,0.583,4.0,10.0,0.5,7.0,7.0,1.0,3.0,7.0,9.0,6.0,3.0,1.0,3.0,4.0,25.0,3.0,0.829,0.75,1.0,1.0,11.6,43.0,17.5,31.9,4.7,12.8,66.7,26.5,164.0,131.0,DET,100,1,2023-02-04,True
7,240.0,240.0,35.0,81.0,0.432,16.0,42.0,0.381,14.0,22.0,0.636,9.0,21.0,30.0,23.0,8.0,2.0,16.0,27.0,100.0,,0.551,0.531,0.519,0.272,20.0,67.7,39.5,65.7,8.5,3.8,15.0,100.0,106.4,123.4,,,8.0,17.0,0.583,4.0,10.0,0.5,7.0,7.0,1.0,3.0,7.0,9.0,6.0,3.0,1.0,3.0,4.0,25.0,3.0,0.829,0.75,1.0,1.0,11.6,43.0,17.5,31.9,4.7,12.8,66.7,26.5,164.0,131.0,DET,100,1,0,240.0,240.0,42.0,75.0,0.56,11.0,23.0,0.478,21.0,31.0,0.677,10.0,36.0,46.0,34.0,10.0,2.0,16.0,23.0,116.0,,0.654,0.633,0.307,0.413,32.3,80.0,60.5,81.0,10.6,5.1,15.3,100.0,123.4,106.4,,,13.0,15.0,0.867,4.0,7.0,1.0,5.0,8.0,1.0,3.0,13.0,16.0,14.0,2.0,1.0,4.0,5.0,31.0,25.0,0.969,0.944,0.5,6.0,22.2,44.5,32.4,49.2,6.6,3.9,35.5,28.0,194.0,113.0,PHO,116,0,2023-02-04,False
8,240.0,240.0,35.0,85.0,0.412,5.0,22.0,0.227,26.0,34.0,0.765,15.0,32.0,47.0,24.0,5.0,5.0,13.0,26.0,101.0,,0.505,0.441,0.259,0.4,28.3,74.4,49.0,68.6,5.2,13.2,11.5,100.0,104.4,125.1,,,7.0,15.0,0.6,2.0,4.0,0.667,7.0,9.0,1.0,6.0,6.0,8.0,9.0,1.0,2.0,3.0,5.0,19.0,1.0,0.643,0.6,0.667,1.0,22.3,26.4,16.4,49.2,5.0,15.8,25.8,26.9,130.0,134.0,ORL,101,0,1,240.0,240.0,36.0,80.0,0.45,18.0,42.0,0.429,31.0,40.0,0.775,11.0,38.0,49.0,25.0,7.0,4.0,13.0,25.0,121.0,,0.62,0.563,0.525,0.5,25.6,71.7,51.0,69.4,7.2,6.3,11.8,100.0,125.1,104.4,,,10.0,16.0,0.909,6.0,11.0,0.857,6.0,8.0,1.0,8.0,10.0,18.0,5.0,2.0,1.0,3.0,5.0,32.0,25.0,1.173,1.182,1.0,1.0,26.5,26.9,26.7,31.1,90.2,2.7,29.1,69.4,235.0,111.0,DET,121,1,2022-12-28,False
9,240.0,240.0,36.0,80.0,0.45,18.0,42.0,0.429,31.0,40.0,0.775,11.0,38.0,49.0,25.0,7.0,4.0,13.0,25.0,121.0,,0.62,0.563,0.525,0.5,25.6,71.7,51.0,69.4,7.2,6.3,11.8,100.0,125.1,104.4,,,10.0,16.0,0.909,6.0,11.0,0.857,6.0,8.0,1.0,8.0,10.0,18.0,5.0,2.0,1.0,3.0,5.0,32.0,25.0,1.173,1.182,1.0,1.0,26.5,26.9,26.7,31.1,90.2,2.7,29.1,69.4,235.0,111.0,DET,121,1,0,240.0,240.0,35.0,85.0,0.412,5.0,22.0,0.227,26.0,34.0,0.765,15.0,32.0,47.0,24.0,5.0,5.0,13.0,26.0,101.0,,0.505,0.441,0.259,0.4,28.3,74.4,49.0,68.6,5.2,13.2,11.5,100.0,104.4,125.1,,,7.0,15.0,0.6,2.0,4.0,0.667,7.0,9.0,1.0,6.0,6.0,8.0,9.0,1.0,2.0,3.0,5.0,19.0,1.0,0.643,0.6,0.667,1.0,22.3,26.4,16.4,49.2,5.0,15.8,25.8,26.9,130.0,134.0,ORL,101,0,2022-12-28,True
